pdpass,dateIncorporated,fileNumber,assignee1,assignee2,assignee3,assignee4,assignee5
12928888,,,FUJITSU COMPONENT LIMITED,,,,
11481446,10/26/95,2547188,DIGITAL WIRELESS CORP,,,,
12503985,4/23/84,2033458,KOPIN CORPORATION,,,,
11455053,,,OSRAM SYLVANIA INC,,,,
12800934,,,REDROCK SEMICONDUCTORY LTD,,,,
12411155,,,HEARING ENHANCEMENT CO LLC,,,,
12228397,4/26/96,2617945,JUSTSYSTEM PITTSBURGH RESEARCH CENTER,,,,
13149558,,,ARCTURAS BIOSCIENCE INC,,,,
13229069,,,NOVO ZYMES ALS,,,,
12771757,5/19/98,2897107,FUSIONONE INC,,,,
11926268,12/8/87,2145446,ONTOS INC,,,,
12893178,8/2/00,3268986,GATELINK LC,,,,
11541803,4/1/96,C1965088,ONYX OPTICS INC,,,,
12796688,,,DIAMOND SEMICONDUCTOR GROUP LLC,,,,
10891101,,,BOEHRINGER INGELHEIM,,,,
12264131,,,MIDSTATES PLASTICS INC,,,,
11644278,1/28/97,2711438,AUDIOCODES LTD,,,,
11813953,,,SORIN BIOMEDICA CARDIO SPA,,,,
11372432,3/8/90,C1512960,WINBOND ELECTRONICS NORTH AMERICA CORPORATION,,,,
12717475,6/6/02,3526768,SOLVIAS AG,,,,
13025973,,,R SANDERSON MANAGMENT INC,,,,
11050610,,,MAN GILL CHEMICAL COMPANY,,,,
13180362,9/3/98,2941075,NAZOMI COMMUNICATION INC,,,,
12830520,11/24/03,3731814,AURORA DISCOVERY INC,,,,
12620996,,,DEPUY ACTOMED INC,,,,
12305565,1/2/01,C2328625,MARATHON TECHNOLOGIES CORPORATION,,,,
13132667,7/1/24,170416,HALLIBURTONN ENERGY SERVICES INC,,,,
11597681,,,INTEGRATED PACKAGING ASSEMBLY CORPORATION,,,,
12315152,7/14/87,4374041,CREE INC,,,,
12205775,,,PAKON INC,,,,
12459528,,,ATHEROS COMMUNICATIONS,,,,
12926566,11/12/03,3726371,SPEEDTRACK INC,,,,
12846396,2/26/98,2863985,VIAMEDICS LLC,,,,
12586928,,,SAINTGOBIAN GLASS FRANCE,,,,
11084043,3/22/89,2191205,THUNDERBIRD TECHNOLOGIES INC,,,,
12754188,,,LIGHTSPAN LLC,,,,
10575487,,,KIORITZ CORP,,,,
12494994,7/19/00,3260759,VYTERIS INC,,,,
11919084,,,UBIQUE LTD,,,,
12790042,,,SENSOR ELECTRONIC TECHNOLOGY INC,,,,
11787090,3/11/98,2859683,ASPEN TECHNOLOGY INC,,,,
21233284,,,NOVELLUS SYSTEMS,,,,
10227203,,,WAINROY INC,,,,
11832184,7/11/91,2268213,DIGITAL PROCESSING SYSTEMS INC,,,,
12882389,10/3/00,3297041,IBRIX INC,,,,
12296555,,,ATLAS COPCO WAGNER INC,,,,
11419114,,,ARCO CHEMICAL TECHNOLOGY INC,,,,
12625688,8/18/00,3274824,ENUVIS INC,,,,
11411017,11/19/96,2685815,SIMON MARKETING INC,,,,
11663496,,,SPANX INC,,,,
13005612,10/26/98,2.00E+11,HANUMAN LLC,,,,
10897509,7/16/04,C2627027,NICOR INC,,,,
12826922,,,MINU LLC,,,,
12572203,,,ENVIRONMENTAL MICROBIOLOGY LABORATORY INC,,,,
11135625,,,MUNSON ELECTRONICS INC,,,,
12915617,,,BELDEN TECHNOLOGIES INC,,,,
12599054,4/17/00,C2229722,SENVID INC,,,,
11854636,3/10/98,C2082238,ANSWERSOFT INC,,,,
12186388,11/1/90,C1675449,TVM GROUP INC,,,,
11949162,,,DEPOSITION SCIENCES INC,,,,
11195017,,,SOUTHERN RESEARCH INSTITUTE,,,,
10844907,,,INTERFERON SCIENCES INC,,,,
12656138,,,ZIRO LIMIT COMPOSITE INC,,,,
11201117,2/15/91,2254980,MIPS COMPUTER SYSTEMS INC,,,,
11938919,4/3/95,2493764,GANYMEDE SOFTWARE INC,,,,
12973997,6/22/99,3015123,AGILE SOFTWARE CORP,,,,
11422644,,,BRADTECUS INC,,,,
12757584,11/13/98,2956645,SPORTVISION INC,,,,
12347246,10/6/05,4039478,DENVER INSTRUMENT COMPANY,,,,
12630823,3/10/00,C2221779,NANOCLEAN TECHNOLOGIES INC,,,,
12136490,,,JORDCO INC,,,,
12741862,4/26/99,3034406,ION POWER INC,,,,
11074981,12/27/02,C2479991,COSMETIC ESSENCE INC,,,,
13235531,11/28/38,367803,BASF CATALYSTS LLC,,,,
11022212,,,NOVATEL COMMUNICATIONS LTD,,,,
12739197,,,NEXICOR LLC,,,,
12426855,5/29/98,2902246,AGERE SYSTEMS,,,,
11765688,,,OLIN MICROELECTRONIC CHEMICALS INC,,,,
11607981,,,TEL VENTURES INC,,,,
11672953,8/28/01,C2359317,TACONIC FARMS INC,,,,
11907384,,,ECLIPSE SURGICAL TECHNOLOGIES INC,,,,
12615413,2/28/98,2862929,LUMINATOR HOLDING LP,,,,
12438215,5/20/98,2897869,UMBRA INC,,,,
12926458,,,GARMIN AT INC,,,,
13004217,,,FURUKAWA ELECTRIC NORTH AMERICA,,,,
12357397,,,SASIB NORTH AMERICA INC,,,,
10883818,1/27/82,930978,INTELLITECH INC,,,,
12507408,,,UNIVERSAL DISPLAY CORPORATION,,,,
11764112,4/12/93,2332276,ALTERNATIVE SYSTEMS INC,,,,
11350314,9/4/73,794349,PRC,,,,
11677191,,,MINERVA SYSTEMS,,,,
12255310,,,SEALY TECHNOLY LLC,,,,
12913977,,,DAVICORP INC,,,,
12828569,,,EVANSTON NORTHWESTERN HEALTHCARE CORP,,,,
10714595,,,CORAL INC,,,,
12883008,6/28/91,2267139,U S FILTER WASTEWATER GROUP INC,,,,
12992222,12/27/99,3149058,RETURN PATH,,,,
12671799,5/19/77,C0795915,RIC INVESTEMENTS INC,,,,
12851395,5/17/00,C2080519,ACTIVE OPTICAL NETWORKS INC,,,,
12202644,12/22/99,3147430,CATERPILLAR SAR L,,,,
11262049,,,ETHYL PETROLEUM ADDITIVES,,,,
12377116,5/22/97,2754159,VIDADERM,,,,
12478026,4/9/03,3645664,SIPEX CORPORATION,,,,
11338060,,,OED ENVIRONMENTAL SYSTEMS INC,,,,
11075816,,,SIEMENS SOLAR INDUSTRIES LP,,,,
11313683,,,CHROMAFLOW INC,,,,
11782412,,,CARDIAC MARINERS INCORPORATED,,,,
12431191,1/5/98,C2065374,TRIVASCULAR INC,,,,
13231849,11/1/83,C1230492,YAMAICHI ELECTRONICS USA INC,,,,
12928336,,,CAMBREX CHARLES CITY INC,,,,
11536426,,,SULZER METCO INC,,,,
12262017,,,CARDIOVASCULAR INNOVATIONS LLC,,,,
12465172,,,BIOAMIDE INC,,,,
12699632,3/9/99,2.00E+11,EDGE STRUCTURAL COMPOSITES LLC,,,,
11723882,5/13/91,2262821,ALLTRISTA CORPORATION,,,,
11976350,5/1/95,C1934503,SALUTRON INC,,,,
10972136,,,GE FANUC AUTOMATION NORTH AMERICA INC,,,,
11486689,4/1/92,2293038,NOISES OFF INC,,,,
11535370,,,UNIROYAL GOODRICH LICENSING SERVICES INC,,,,
10766928,,,MERCK FROSST CANADA,,,,
12718513,,,FIBERCONTROL,,,,
12429181,4/19/00,3208155,NEUROLOGIX INC,,,,
12687949,11/20/02,3593683,FOTONATION HOLDINGS LLC,,,,
11235456,,,HAMMER STRENGTH CORPORATION,,,,
11486147,11/30/88,2179679,LELAND ELECTROSYSTEMS INC,,,,
12364718,,,KOBEICO METAL POWDER OF AMERICA INC,,,,
12281717,7/29/98,2925698,BANDWIDTH 9,,,,
13167547,,,FXS VENTURES LLC,,,,
12222213,,,BOISE IDAHO,,,,
12213265,,,FLUORSCAN IMAGING SYSTEMS INC,,,,
13062064,12/11/81,928190,ANSELL HEALTHCARE PRODUCTS LLC,,,,
12455734,,,ECOSYNTHETIX INC,,,,
11466800,,,NORTHEAST ABRASIVES DIAMOND AND TOOLS CORP,,,,
13107330,,,AUTONURSE INC,,,,
12261546, 1/6/2004,2.00E+11,QUARDRIVIUM LLC,,,,
11964252,9/12/94,C1835487,GALVANTECH INC,,,,
12367989,,,ELAN PHARMA INTERNATIONAL LTD,,,,
13070535,6/10/98,2906074,ENVOY WORLDWIDE INC,,,,
12212123,6/16/95,C1922810,ENDONETICS INC,,,,
11521709,1/31/94,2374376,ALLIANCE COMPRESSORS,,,,
11632875,,,BENOPCON INC,,,,
12808283,,,STRATUS TECHNOLOGIES BERMUDA LTD,,,,
10792024,5/30/89,2197735,ELECTROTEC CORP,,,,
12832354,1/8/98,2843934,QUICKSILVER TECHNOLOGY INC,,,,
13044256,1/26/00,3163761,ALCATEL IP NETWORKS INC,,,,
11404540,,,APPLIED MICROBIOLOGY INC,,,,
12786774,10/3/00,3297607,RAZA MICROELECTRONICS INC,,,,
12411280,11/14/97,C2060752,NBAND COMMUNICATIONS,,,,
11204373,12/27/95,2575857,AMERICAN IMMUNO TECH LLC,,,,
12397759,1/28/86,C1363766,LEWYN CONSULTING INC,,,,
12604708,7/9/86,2095694,ROYAL CONSUMER INFORMATION PRODUCTS INC,,,,
11830164,,,AMERICLEAN OF VIRGINIA LTD,,,,
11196193,,,EBONITE INTERNATIONAL INC,,,,
10996104,10/2/78,860838,HITACHI MICRO SYSTEMS INC,,,,
12533717,4/21/00,C2230515,CYNGAL INTEGRATED PRODUCTS INC,,,,
11573347,1/14/91,2251983,GATEWAY INC,,,,
13057067,2/11/02,3490655,ARUBA NETWORKS,,,,
11882258,,,ALFMEIER CORPORATION,,,,
11438678,,,ONCOGEN A LIMITED PARTNERSHIP,,,,
13064561,4/16/98,C2084683,V SYSTEM COMPOSITES INC,,,,
10194379,,,BODY GUARD INC,,,,
10924389,1/26/84,C1237649,PRECISION CONNECTOR DESIGNS INC,,,,
12302242,1/1/96,C1958760,ZEPHYR DESIGN INC,,,,
11205194,6/30/93,C1860978,SONY AMERICA,,,,
11421745,7/12/78,857006,VMX INC,,,,
12110219,3/9/82,933315,CONTEX INC,,,,
13152152,10/12/99,3109881,PHILIPS LUMILENDS LIGHTING COMPANY LLC,,,,
13179883,7/21/97,2775617,NUVASLVE INC,,,,
12354601,,,HYSTERX INC,,,,
12307293,9/4/91,2273092,ATD CORPORATION,,,,
11074382,,,CONSTRUCTONIKA INC,,,,
12319045,,,WORLDS INC,,,,
11767972,,,HYSEQ INC,,,,
12139749,,,ENDOVASCULAR SYSTEMS INC,,,,
11663553,9/26/97,2799790,SIGMA TEL INC,,,,
12218692,,,BTG INTERNATIONAL INC,,,,
12862841,,,SPECTRAALLIANCE INC,,,,
11898322,,,GATEWAY ADDITIVE COMPANY,,,,
11508911,5/6/97,C2009889,LYRRUS INC,,,,
11033777,7/8/91,2267690,MICROTEK LAB INC,,,,
12462851,,,LOGITECH EUROPE S A,,,,
12396663,,,MEDICALCV INC,,,,
12843639,,,NVE CORPORATION,,,,
10896152,11/5/85,2075001,VON WEISE GEAR CO,,,,
12438747,12/20/82,950472,KEYSTONE INVESTMENT CORPORATION,,,,
11899436,,,BIOSENSORY INSECT CONTROL CORPORATION,,,,
10349244,8/10/05,4013441,PPM INC,,,,
11929981,,,ATLANTIS COMPONENTS INC,,,,
13240335,,,KAYMOR LLC,,,,
12512317,2/17/11,C3359790,OLYMPUS LOCK INC,,,,
11709574,4/25/96,2617502,LOCALMED INC,,,,
12064650,,,DIGITAL INNOVATIONS LLC,,,,
11643295,9/11/86,2101267,TROPIX INC,,,,
11416702,11/5/92,2314967,INNOTECH INC,,,,
12824730,,,AZIMUTH NETWORKS INC,,,,
12924317,10/29/87,2142221,THALES AVIONICS INC,,,,
12675573,,,CARL ZEISS OPHTHALMIC SYSTEMS INC,,,,
12987703,,,ARTURUS BIOSCIENCE INC,,,,
12988925,6/6/00,3239366,SNOWSHORE NETWORKS INC,,,,
11410094,11/30/93,1.99E+11,JSP PARTNERS LP,,,,
12693512,10/18/07,4442579,COGNOSCI INC,,,,
10897796,,,L KENT EASTMAN CO INC,,,,
11758754,10/27/89,2211838,OPTEIN INC,,,,
11875996,1/12/95,C1896398,MPATH INTERACTIVE INC,,,,
12408102,,,STIMSOFT INC,,,,
12464994,,,APPLIED OPSEC INC,,,,
22384211,,,KOCAT INC,,,,
13081445,,,AXELA BIOSENSORS INC,,,,
10529898,11/5/99,3122122,MERTZ INC,,,,
12889630,,,SKIL EUROPE BV,,,,
13174737,4/23/04,3794213,SUPRESTA US LLC,,,,
10877962,,,RESPITRACE CORPORATION,,,,
11899450,5/20/83,C1142434,ESSEX SPECIALTY PRODUCTS INC,,,,
10164356,7/16/96,2643465,SANDERS ASSOCIATES INC,,,,
11120416,,,PANTERA ARMORY INC,,,,
12261103,11/26/96,2688650,EPIPHANY INC,,,,
12987538,,,BRPP LLC,,,,
11316577,,,COMTRONICS ENCLOSURES CORPORATION,,,,
12239936,9/27/96,C1990357,AKASHIC MEMORIES CORP,,,,
13253319,12/1/71,C0640046,GENICO INC,,,,
10853081,,,REMCOR PRODUCTS COMPANY,,,,
12088700,,,SHERWOOD SERVICES AG,,,,
10240359,3/11/53,C0272012,CLAIROL INCORPORATED,,,,
12532035,11/13/98,2967077,INTEGRATED IMPLANT SYSTEMS LLC,,,,
12743837,7/6/92,2302847,METASOLV SOFTWARE INC,,,,
12857802,,,P CUBE LTD,,,,
11091642,1/27/84,2026826,STOLLBERG INC,,,,
12777945,,,XGI CAYMAN LTD,,,,
11988247,,,CARDIOTHORACIC SYSTEMS INC,,,,
13025321,6/8/90,C1666279,EPIX PHARMACEUTICALS INC,,,,
11764149,,,CYRIX CORPORATION,,,,
12827230,3/17/97,2729259,COLEY PHARMACEUTICAL GROUP INC,,,,
13033746,11/29/00,C2321412,PLANET ATE INC,,,,
11434423,8/3/81,919659,UNITED SOLAR SYSTEMS CORPORATION,,,,
12979865,,,MAYLAND LLC,,,,
11590495,,,CLEAN BURN INC,,,,
10287175,4/10/33,1002908,ROBERTS FILTER MANUFACTURING COMPANY,,,,
11114377,2/19/64,C0465831,E R CARPENTER COMPANY INC,,,,
11971400,7/27/93,C1862478,SILICON GAMING INC,,,,
12584777,,,BELKIN CORPORATION,,,,
12897677,11/5/69,732620,AFTON CHEMICAL CORPORATION,,,,
12061042,,,WET ENTERPRISES INC,,,,
12060200,10/20/98,2956360,ICUBE,,,,
12750028,10/20/86,2104930,VERILINK INC,,,,
12386968,,,LANGMEKRA NORTH AMICICA LLC,,,,
12516028,,,HARRY MILLER CO INC,,,,
11478512,,,AMF IRREVOCABLE TRUST,,,,
12821980,,,HILLFOM SERVICES INC,,,,
11062094,,,ALPHA BETA TECHNOLOGY INC,,,,
13151873,,,TIME WARNER INC,,,,
12637809,5/1/00,C2231741,XENEREX BIOSCIENCES,,,,
12811340,3/16/00,3195676,GLIMMERGLASS NETWORKS INC,,,,
21256241,,,NISSHIMBO INDUSTRIES INC,,,,
11625868,1/16/92,2285423,MICRON DISPLAY TECHNOLOGY INC,,,,
12330165,,,CERULEAN,,,,
13084280,2/23/77,834948,AVERY DENNISON COPORATION,,,,
12910750,,,INVOCON INC,,,,
12362844,6/13/95,2514994,KSM ASSOCIATES INC,,,,
12289455,,,JTA INC,,,,
11655704,,,ABIOVAC INC,,,,
11999103,,,KOMASTSU LTD,,,,
12483220,,,ISOTIS NV,,,,
11893754,,,EUROTHERM CONTROLS INC,,,,
11944200,,,SENDX MEDICAL INC,,,,
10787468,,,COOK INCORPORATED,,,,
11926874,5/17/94,C1889043,VR SPORTS INC,,,,
12820188,6/30/00,3239912,FAL DIAGNOSTICS,,,,
12109561,9/15/89,2207870,BELL SPORTS INC,,,,
12651494,12/6/96,C1995290,THERASENSE INC,,,,
11731587,6/22/90,C1667185,PERICAM SEMICONDUCTOR CORP,,,,
11944243,2/9/96,2590875,DIRECT RADIOGRAPHY CORP,,,,
12861855,10/13/93,C1830896,BIOSEARCH TECHNOLOGIES INC,,,,
11791526,9/10/90,2240768,US ORDER INC,,,,
12460922,,,HAYES PRODUCTS LLC,,,,
11316301,10/22/97,2811162,ARTISOFT INC,,,,
11480390,4/15/04,3791118,ULTIMATE ABRASIVE SYSTEMS LLC,,,,
12956690,,,PLANTRONIS INC,,,,
12391324,4/17/95,2499096,SIMPLEX SOLUTIONS INC,,,,
11834762,,,QUALOP SYSTEMS CORP,,,,
12314289,,,U T BATTELLE,,,,
12419757,,,CALDUS SEMICONDUCTOR INC,,,,
12077186,3/20/02,3504926,XIMED GROUP PLC,,,,
11315033,2/3/93,2324654,CARTROL ENTERPRISES INC,,,,
12613068,,,NACIMIENTO SOFTWARE CORPORATION,,,,
13171908,,,KAGUTECH LTD,,,,
11979010,,,GREEN TWEED OF DELAWARE INC,,,,
12926195,2/13/98,2859176,BIGBAND NETWORKS BAS INC,,,,
12866496,5/6/97,C2009918,VIRTUAL SILICON TECHNOLOGY INC,,,,
11711668,,,BOSCH AUTOMOTIVE SYSTEMS CORP,,,,
11355130,6/12/87,2129047,ARCHIVE CORPORATION,,,,
11844027,9/10/69,726905,ALTHIN MEDICAL INC,,,,
13024148,8/25/86,2099861,TEMPTIME CORPORATION,,,,
12377849,12/16/96,2695101,SYNGENTA CROP PROTECTION INC,,,,
10747774,6/6/83,2010275,QUANTUM LOGIC CORP,,,,
13255526,6/2/03,3663894,AZAIRE NETWORKS INC,,,,
10164977,,,TAYCO DEVELOPMENTS INC,,,,
11976419,7/13/90,C1568927,NAVIUS CORPORATION,,,,
12565220,,,GLYCOZM APS,,,,
13178361,5/24/04,3806485,HYENERGY SYSTEMS INC,,,,
13132126,2/7/01,3354069,SOFTEK STORAGE SOLUTIONS CORPORATION,,,,
10974587,,,THERMOLYTIC DECOMPOSER,,,,
11471147,,,PERMEABLE TECHNOLOGIES INC,,,,
12348860,10/24/91,2276978,EMPOWER MATERIALS INC,,,,
12491981,5/5/99,3039818,KRATON POLYMERS US LLC,,,,
12603320,,,STRUCTURAL GENOMIX INC,,,,
12118471,9/11/91,2273337,INTEGRATED ENVIRONMENTAL TECHNOLOGIES INC,,,,
12882307,12/8/09,4761960,LAB21 INC,,,,
11547269,12/20/76,832388,BCUSA INC,,,,
10925850,,,OPIELAB INC,,,,
12701468,,,INNOVATIVE ROBOTIC SOLUTIONS,,,,
12238925,,,EUGENE ONEILL,,,,
13046045,,,WANDA M WEDER AND WILLIAM F STRAETER,,,,
13235740,3/8/00,3189904,TELEDYNE LICENSING LLC,,,,
11080208,6/7/91,C1687965,MENICON CO LTD,,,,
13087393,,,RHINO ANALYTICS LP,,,,
12077624,,,ANAM SEMICONDUCTOR INC,,,,
11850110,,,GLAXOSMITH KLINE BIOLOGICALS SA,,,,
10583929,7/24/81,C1084189,LIPOSOME TECHNOLOGY INC,,,,
11798990,7/24/98,C2116257,SOUTHWEST TEST INC,,,,
12929216,,,HITACHI TELECOM INC,,,,
11651617,9/1/92,C1712067,SPORT CARRIERS INC,,,,
12214943,,,UTBATTELLE LLC,,,,
11709714,9/20/96,2664057,STERLING DRY IMAGING SYSTEMS INC,,,,
12008940,7/13/92,2303440,LIPOGENICS INC,,,,
12049065,,,FASTLITE,,,,
11857130,12/24/92,2320315,FUSION LIGHTING INC,,,,
11992328,,,APPLIED KOMATSU TECHNOLOGY INC,,,,
13215682,1/28/97,2711278,CYTEC SURFACE SPECIALTIES INC,,,,
12821784,,,POOFAWAYCOM INC,,,,
10764705,1/17/85,2052965,SII MEGADIAMOND INC,,,,
11309715,,,WALKER FITNESS SYSTEMS INC,,,,
11821912,12/2/91,C1804450,DATA INTEGRATION SOLUTIONS CORP,,,,
11934261,1/16/96,C1960357,BIOCATALYTICS INC,,,,
12181508,8/7/96,2651201,INDUS RIVER NETWORKS INC,,,,
13226047,,,SUNGENTA PARTICIPATIONS AG,,,,
12207324,4/14/97,2742268,ARENA PHARMACEUTICALS INC,,,,
12175530,3/9/09,C3191643,MAYA DESIGN GROUP,,,,
12622471,3/9/00,3190624,Z TEK INC,,,,
11545754,,,PSAMS INC,,,,
11702021,8/17/90,C1515226,CATALYTIC ANTIBODIES INC,,,,
12065467,9/12/05,4023452,THE TENSAR CORPORATION,,,,
12917273,,,DAVENPORT MACHINE INC,,,,
12551980,,,BANAN KHAW,,,,
12490200,,,ALLAMON INTERESTS,,,,
12642776,,,TRANSNEURONIX INC,,,,
11436551,,,MIZU SYSTEMS INC,,,,
12825864,6/26/96,2627291,ALLEGIANCE CORPORATION,,,,
12219100,10/18/99,3112850,WALKER DIGITAL LLC,,,,
11392605,8/28/80,C1001304,XINIX INC,,,,
11117693,,,NEORX CORPORATION,,,,
13174746,3/14/96,C1901066,BIOCERAX INC,,,,
12007056,,,SAUDI BASIC INDUSTRIES CORPORATION,,,,
11126367,,,CARDIOVASCULAR LASER SYSTEMS INC,,,,
11196078,,,MURRIE WHITE DRUMMOND LIENHART ASSOCIATES,,,,
13207551,12/18/85,C1360479,PROLIFIC INC,,,,
12361663,,,MITSUBISHI POLYESTER FILM CORPORATION,,,,
11954387,,,BIOELASTICS RESEARCH LTD,,,,
12187990,,,ANTENNA PLUS LLC,,,,
12312192,,,ITXC INC,,,,
11047535,5/22/87,C1587121,JOY TECHNOLOGIES INC,,,,
11393911,,,FANUC ROBOTICS NORTH AMERICA INC,,,,
12005208,,,LOCKHEED MARTIN IDAHO TECHNOLOGIES COMPANY,,,,
12950558,1/12/01,3343673,UNAV MICROELECTRONICS CORPORATION,,,,
12580842,8/22/96,2654516,SAP PORTALS INC,,,,
12104210,,,SONY COMPUTER ENTERTAINTAIMENT INC,,,,
13103056,12/3/03,3732169,FREESCALE SEMICONDUCTER INC,,,,
11019998,12/30/91,C1813621,PRECISION FABRICS GROUP INC,,,,
12281786,8/7/00,3270482,VOYANT TECHNOLOGIES INC,,,,
10796967,,,BP PERFORMANCE POLYMERS INC,,,,
12732170,12/22/93,2365150,BIOMEC INC,,,,
11631058,,,SOUTHPAC TRUST INTERNATIONALS INC,,,,
11992808,,,TECHNE SYSTEMS INC,,,,
12708522,12/18/00,3332161,MICROTUNE LP,,,,
10877329,,,MICROFIELD GRAPHICS INC,,,,
10642025,,,STOLLE RESEARCH AND DEVELOPMENT CORPORATION,,,,
12254707,,,PE APPLIED BIOSYSTEMS A DIVISION OF PERKINELMER,,,,
13099204,8/13/02,3558198,GLOBAL 360 INC,,,,
10806131,,,JOHNSON JOHNSON ULTRASOUND INC,,,,
12363714,3/9/09,C3203039,TELEPRO INC,,,,
12856395,,,ROCHEPALO ALTO LLC,,,,
13219751,3/23/90,2225631,AGC AUTOMOTIVE AMERICAS CO,,,,
11016398,3/11/87,2119976,SPECTROSCOPY IMAGING SYSTEMS CORPORATION,,,,
10929422,12/17/85,2078699,STELLAR COMPUTER INC,,,,
11256810,3/7/89,2189487,BIOCIRCUITS CORPORATION,,,,
10138815,,,NORTHERN RESEARCH AND ENGINEERING CORPORATION,,,,
11767082,3/22/10,3/22/10,CORE GROUP MARKETING INC,,,,
12863309,1/12/01,3343731,NOVODYNAMICS INC,,,,
11935057,8/16/85,2069082,KVH INDUSTRIES INC,,,,
11567773,,,PACEART ASSOCIATES LP,,,,
12314106,7/26/01,3419226,MILLENNIUM INORGANIC CHEMICALS SA,,,,
12921747,,,AUTOMATED CELL INC,,,,
22908939,6/6/03,3667228,BIOVERIS CORPORATION,,,,
11400771,,,ANALYTICA OF BRANFORD INC,,,,
11754868,,,SL ABURN INC,,,,
11715672,12/11/06,C2937380,OPTISCAN INC,,,,
12463292,10/16/00,3302807,MYKROLIS CORPORATION,,,,
11848103,12/2/92,2317670,VITALCOM INC,,,,
12587658,,,CORESTREET SECURITY LTD,,,,
12388042,6/13/86,2093618,ARONEX PHARMACEUTICALS INC,,,,
10989481,,,HITECH CERAMICS INC,,,,
12089287,,,AV HEALING LLC,,,,
12577425,,,MMCGATX PARTNERSHIP NO 1,,,,
11816931,,,MOLICHEM MEDICINES INC,,,,
11556709,,,MYO KINETIC SYSTEMS INC,,,,
10578252,,,RAYCHEM LTD,,,,
12392072,8/19/86,2099268,TIMES MICROWAVE SYSTEMS,,,,
12514763,3/7/94,C1883289,SIROS TECHNOLOGIES INC,,,,
12322737,4/8/86,2087920,DENSEPAC MICROSYSTEMS INC,,,,
11938255,,,AUDIOVOX CORP,,,,
11636269,,,GENESIS ORTHOPEDICS,,,,
10674311,1/27/89,2185736,THINKING MACHINES CORPORATION,,,,
12424517,8/13/99,3079630,GETTHERE INC,,,,
11659487,3/30/93,C1856106,RELTEC CORPORATION,,,,
11337753,5/7/87,2125638,LUCAS SENSING SYSTEMS INC,,,,
13013597,6/3/99,3051281,TERUMO CARDIOVASCULAR SYSTEMS,,,,
11207835,,,PHYSIODYNAMICS INC,,,,
12126215,2/11/86,2083210,INSIGHT INC,,,,
13150938,,,AMAZON TECHNOLOGIES INC,,,,
10949707,10/29/85,2074494,SGSTHOMSON MICROELECTRONICS 2 VIA C OLIVETTI,,,,
12903760,8/29/03,3693570,COMPREHENSIVE POWER INC,,,,
12112110,6/28/89,2200845,DIGI INTERNATIONAL INC,,,,
12648039,,,ALTAIR NANOMATERIALS INC,,,,
10941977,,,INTER THERAPY INC,,,,
12015210,,,DESTINEER CORPORATION,,,,
11990545,11/4/83,C1215602,SMITHCO INC,,,,
11460262,,,WHITE STORAGE RETRIEVAL SYSTEMS INC,,,,
13146145,12/3/04,3890696,KEY CONTROL HOLDING INC,,,,
12119398,,,PIPELINE ACCESSORY MARKETING LTD,,,,
12565939,,,LCD LIGHTING INC,,,,
12446052,,,DUNLOP SLAZENGER GROUP AMERICAS,,,,
13085089,,,PALO ALTO RESEARCH CENTER INC,,,,
